goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkTunny/Sleep=001ms/Concurrency=10-2       	 1000000	      1483 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=50-2       	 1000000	      1333 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=50-2       	 1000000	      1752 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=50-2       	 1000000	      1478 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=50-2       	 1000000	      1426 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=50-2       	 1000000	      1317 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=100-2      	 1000000	      1199 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=100-2      	 1000000	      1108 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=100-2      	 1000000	      1386 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=100-2      	 1000000	      1174 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=100-2      	 1000000	      1233 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=1-2        	 1000000	     54193 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=1-2        	 1000000	     60160 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=1-2        	 1000000	     53458 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=1-2        	 1000000	     43866 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=1-2        	 1000000	     45852 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=10-2       	 1000000	      1699 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=10-2       	 1000000	      1470 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=10-2       	 1000000	      1449 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=10-2       	 1000000	      1368 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=10-2       	 1000000	      1529 ns/op	     120 B/op	       2 allocs/op
