goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-in-memory-cache
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFloatdropLRU/10KB/Remove-2     	  100000	       210.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Remove-2     	  100000	       166.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Remove-2     	  100000	       148.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Remove-2     	  100000	       145.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Remove-2     	  100000	       147.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Set-2       	  100000	      1890 ns/op	    1280 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/01KB/Set-2       	  100000	      1796 ns/op	    1281 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/01KB/Set-2       	  100000	      1673 ns/op	    1281 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/01KB/Set-2       	  100000	      1945 ns/op	    1280 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/01KB/Set-2       	  100000	      1762 ns/op	    1281 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/01KB/Get-2       	  100000	       204.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkFloatdropSLRU/01KB/Get-2       	  100000	       177.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Get-2       	  100000	       174.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Get-2       	  100000	       172.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Get-2       	  100000	       173.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Remove-2    	  100000	       163.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Remove-2    	  100000	       145.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Remove-2    	  100000	       152.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Remove-2    	  100000	       143.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/01KB/Remove-2    	  100000	       162.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Set-2       	  100000	      3922 ns/op	    5504 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/05KB/Set-2       	  100000	      3855 ns/op	    5505 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/05KB/Set-2       	  100000	      3872 ns/op	    5505 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/05KB/Set-2       	  100000	      3405 ns/op	    5505 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/05KB/Set-2       	  100000	      3078 ns/op	    5505 B/op	       7 allocs/op
BenchmarkFloatdropSLRU/05KB/Get-2       	  100000	       224.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkFloatdropSLRU/05KB/Get-2       	  100000	       186.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Get-2       	  100000	       188.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Get-2       	  100000	       185.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Get-2       	  100000	       186.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Remove-2    	  100000	       184.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Remove-2    	  100000	       156.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropSLRU/05KB/Remove-2    	  100000	       219.6 ns/op	      39 B/op	       2 allocs/op
